zenith	1507	16	1
zenith	1572	2	1
zenith	1581	4	2
zenith	1590	6	2
zenith	1620	2	1
zenith	1645	3	1
zenith	1648	2	1
zenith	1657	1	1
zenith	1684	1	1
zenith	1693	1	1
zenith	1700	1	1
zenith	1702	1	1
zenith	1705	1	1
zenith	1719	2	2
zenith	1725	2	2
zenith	1728	1	1
zenith	1729	3	3
zenith	1730	4	1
zenith	1732	1	1
zenith	1736	4	4
zenith	1737	117	1
zenith	1738	61	7
zenith	1739	5	2
zenith	1740	2	2
zenith	1741	1	1
zenith	1742	59	8
zenith	1744	1	1
zenith	1746	1	1
zenith	1747	6	4
zenith	1748	393	9
zenith	1749	2	2
zenith	1750	30	8
zenith	1751	7	6
zenith	1752	9	9
zenith	1753	59	1
zenith	1754	72	17
zenith	1755	27	18
zenith	1756	6	4
zenith	1758	19	9
zenith	1759	23	17
zenith	1760	40	6
zenith	1761	39	18
zenith	1762	9	9
zenith	1763	12	9
zenith	1764	31	9
zenith	1765	13	5
zenith	1766	185	23
zenith	1767	40	21
zenith	1768	88	28
zenith	1769	245	18
zenith	1770	79	16
zenith	1771	13	12
zenith	1772	13	11
zenith	1773	10	6
zenith	1774	33	20
zenith	1775	52	16
zenith	1776	64	25
zenith	1777	121	29
zenith	1778	43	25
zenith	1779	28	23
zenith	1780	53	21
zenith	1781	33	32
zenith	1782	52	18
zenith	1783	35	25
zenith	1784	94	26
zenith	1785	66	29
zenith	1786	106	33
zenith	1787	135	38
zenith	1788	45	34
zenith	1789	38	27
zenith	1790	138	53
zenith	1791	84	42
zenith	1792	81	57
zenith	1793	105	50
zenith	1794	246	70
zenith	1795	187	62
zenith	1796	158	64
zenith	1797	223	61
zenith	1798	100	65
zenith	1799	218	71
zenith	1800	219	97
zenith	1801	246	136
zenith	1802	546	110
zenith	1803	540	141
zenith	1804	202	127
zenith	1805	319	146
zenith	1806	329	109
zenith	1807	197	121
zenith	1808	250	133
zenith	1809	587	169
zenith	1810	393	185
zenith	1811	542	226
zenith	1812	713	158
zenith	1813	597	167
zenith	1814	791	203
zenith	1815	796	194
zenith	1816	482	211
zenith	1817	353	226
zenith	1818	662	261
zenith	1819	637	203
zenith	1820	778	289
zenith	1821	2975	232
zenith	1822	1058	293
zenith	1823	1182	279
zenith	1824	958	415
zenith	1825	730	361
zenith	1826	702	261
zenith	1827	1338	298
zenith	1828	755	302
zenith	1829	853	355
zenith	1830	770	321
zenith	1831	781	364
zenith	1832	1338	378
zenith	1833	900	343
zenith	1834	1374	431
zenith	1835	1404	475
zenith	1836	1307	481
zenith	1837	1047	406
zenith	1838	1158	444
zenith	1839	1373	491
zenith	1840	1931	466
zenith	1841	1209	507
zenith	1842	1008	422
zenith	1843	945	468
zenith	1844	1354	447
zenith	1845	1804	582
zenith	1846	1781	550
zenith	1847	1192	543
zenith	1848	1346	513
zenith	1849	1810	600
zenith	1850	2526	709
zenith	1851	1915	680
zenith	1852	2382	702
zenith	1853	2067	760
zenith	1854	2004	877
zenith	1855	2395	834
zenith	1856	2602	850
zenith	1857	1645	695
zenith	1858	1807	672
zenith	1859	1897	783
zenith	1860	2670	906
zenith	1861	1193	521
zenith	1862	1089	547
zenith	1863	1084	505
zenith	1864	1074	574
zenith	1865	1174	590
zenith	1866	1483	691
zenith	1867	1411	600
zenith	1868	1769	618
zenith	1869	1781	646
zenith	1870	1565	666
zenith	1871	2250	671
zenith	1872	1888	703
zenith	1873	2171	759
zenith	1874	2282	856
zenith	1875	1824	773
zenith	1876	2227	868
zenith	1877	1725	704
zenith	1878	2045	905
zenith	1879	2725	827
zenith	1880	3175	1027
zenith	1881	2153	1007
zenith	1882	2282	1125
zenith	1883	3065	1233
zenith	1884	2546	1145
zenith	1885	2336	1135
zenith	1886	2888	954
zenith	1887	2580	1130
zenith	1888	2618	1122
zenith	1889	2555	1054
zenith	1890	2623	1058
zenith	1891	2684	1193
zenith	1892	2582	1415
zenith	1893	3094	1243
zenith	1894	3110	1209
zenith	1895	2939	1406
